"Var1","Var2","CO_Hellenistic","CO_Roman","CO_diff","Cost","MI_Hellenistic","MI_Roman","MI_diff"
100,128,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,13,0.4,0.2,0.2,NA,0,0.22314355131421,-0.22314355131421
100,144,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,145,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,146,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,149,0.6,0.4,0.2,NA,0.1184939225613,0.0138442938083905,0.104649628752909
100,152,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,153,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,158,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,16,0.8,0.6,0.2,NA,0.291103166032368,0,0.291103166032368
100,160,0.6,0.6,0,NA,0.1184939225613,0.0138442938083905,0.104649628752909
100,205,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,212,0.8,0.8,0,NA,0.291103166032368,0.291103166032368,0
100,216,0.8,0.4,0.4,NA,0.291103166032368,0.1184939225613,0.172609243471068
100,233,0.6,0.4,0.2,NA,0.1184939225613,0.0138442938083905,0.104649628752909
100,24,1,0.6,0.4,NA,0.673011667009256,0,0.673011667009256
100,26,0.8,0.4,0.4,NA,0.291103166032368,0.1184939225613,0.172609243471068
100,28,0.6,0.4,0.2,NA,0.1184939225613,0.0138442938083905,0.104649628752909
100,32,0.8,0.4,0.4,NA,0.291103166032368,0.1184939225613,0.172609243471068
100,328,0.6,0.4,0.2,NA,0.1184939225613,0.0138442938083905,0.104649628752909
100,332,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
100,334,0.6,0.2,0.4,NA,0.1184939225613,0.291103166032368,-0.172609243471068
100,336,0.8,0.4,0.4,NA,0.291103166032368,0.1184939225613,0.172609243471068
100,338,0.6,0.6,0,NA,0.1184939225613,0.1184939225613,0
