start poin,end point,total cost,layer,path
26,334,13.804,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,40,13.931,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,139,14.080,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,13,14.805,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,460,15.721,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,16,16.525,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,41,18.002,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,66,18.089,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,34,18.089,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,387,23.316,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,57,25.238,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
26,63,38.122,Antioch,C:/Users/him628/Documents/Antioch-LCP.shp|layername=Antioch-LCP
28,92,0.000,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,28,0.000,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,26,0.865,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,100,0.865,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,411,3.785,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,330,4.015,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,409,4.395,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,121,5.570,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,364,5.570,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,212,7.446,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,216,7.446,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,91,12.407,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,347,12.407,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,336,12.989,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,365,14.307,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,102,14.378,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,334,14.387,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,40,14.515,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
28,139,14.663,Apamea,C:/Users/him628/Documents/Apamea-LCP.shp|layername=Apamea-LCP
