"Var1","Var2","CO_Hellenistic","CO_Roman","CO_diff"
365,91,1,1,0
365,92,0.6,0.4,0.2
387,40,1,1,0
387,409,0.6,0.6,0
387,41,1,0.8,0.2
387,411,0.8,0.8,0
387,460,1,1,0
387,57,0.6,0.6,0
387,63,0.6,0.4,0.2
387,66,0.8,0.8,0
387,91,1,1,0
387,92,0.6,0.4,0.2
40,409,0.6,0.6,0
40,41,1,0.8,0.2
40,411,0.8,0.8,0
40,460,1,1,0
40,57,0.6,0.6,0
40,63,0.6,0.4,0.2
40,66,0.8,0.8,0
40,91,1,1,0
40,92,0.6,0.4,0.2
409,41,0.6,0.8,-0.2
409,411,0.8,0.8,0
409,460,0.6,0.6,0
409,57,1,1,0
409,63,1,0.8,0.2
409,66,0.8,0.8,0
409,91,0.6,0.6,0
409,92,1,0.8,0.2
41,411,0.8,1,-0.2
41,460,1,0.8,0.2
41,57,0.6,0.8,-0.2
41,63,0.6,0.6,0
41,66,0.8,1,-0.2
41,91,1,0.8,0.2
41,92,0.6,0.6,0
411,460,0.8,0.8,0
411,57,0.8,0.8,0
411,63,0.8,0.6,0.2
411,66,0.6,1,-0.4
411,91,0.8,0.8,0
411,92,0.8,0.6,0.2
460,57,0.6,0.6,0
460,63,0.6,0.4,0.2
460,66,0.8,0.8,0
460,91,1,1,0
460,92,0.6,0.4,0.2
57,63,1,0.8,0.2
57,66,0.8,0.8,0
57,91,0.6,0.6,0
57,92,1,0.8,0.2
63,66,0.8,0.6,0.2
63,91,0.6,0.4,0.2
63,92,1,1,0
66,91,0.8,0.8,0
66,92,0.8,0.6,0.2
91,92,0.6,0.4,0.2
